AF.ZAB	N-3396439	32.2	67.2	Kalat
AF.ZAB	N-3396439	32.2	67.2	Velayat-e Zabol
AF.ZAB	N-3396439	32.2	67.2	Wilayat-e Zabul
AF.ZAB	N-3396439	32.2	67.2	Qalat
AF.ZAB	N-3396439	32.2	67.2	Zabul
AF.ZAB	N-3396439	32.2	67.2	Qalat-e Ghelza'i
AF.ZAB	N-3396439	32.2	67.2	Zabul
AF.ZAB	N-3396439	32.2	67.2	Zabul Province
AF.WAR	N-3395709	34.2	68.0	Wardag
AF.WAR	N-3395709	34.2	68.0	Maydan Province
AF.WAR	N-3395709	34.2	68.0	Werdek Province
AF.WAR	N-3395709	34.2	68.0	Wilayat-e Wardak
AF.WAR	N-3395709	34.2	68.0	Wardak and Maiden
AF.WAR	N-3395709	34.2	68.0	Wardak
AF.WAR	N-3395709	34.2	68.0	Wardak-Maidan
AF.WAR	N-3395709	34.2	68.0	Velayat-e Vardak
AF.TAK	N-3394329	36.7	69.8	Velayat-e Takhar
AF.TAK	N-3394329	36.7	69.8	Takhar
AF.TAK	N-3394329	36.7	69.8	Talugan
AF.TAK	N-3394329	36.7	69.8	Taluqan
AF.TAK	N-3394329	36.7	69.8	Tekhar Province
AF.TAK	N-3394329	36.7	69.8	Wilayat-e Takhar
AF.TAK	N-3394329	36.7	69.8	Talukan
AF.SAR	N-3390412	35.8	66.2	Velayat-e Sar-e Pol
AF.SAR	N-3390412	35.8	66.2	Sar-e Pul
AF.SAR	N-3390412	35.8	66.2	Wilayat-e Sar-e Pul
AF.SAM	N-3389750	36.0	67.7	Wilayat-e Samangan
AF.SAM	N-3389750	36.0	67.7	Aybak
AF.SAM	N-3389750	36.0	67.7	Velayat-e Samangan
AF.SAM	N-3389750	36.0	67.7	Semegaan Province
AF.SAM	N-3389750	36.0	67.7	Samangan
AF.SAM	N-3389750	36.0	67.7	Samanghan
AF.SAM	N-3389750	36.0	67.7	Eybak
AF.PIA	N-3386221	33.7	69.3	Paktiya
AF.PAR	N-3386432	35.0	68.9	Velayat-e Parvan
AF.PAR	N-3386432	35.0	68.9	Parwan
AF.URU	N-3386013	32.8	66.0	Oruzgan Province
AF.URU	N-3386013	32.8	66.0	Owruzgan
AF.PKA	N-3386222	32.4	68.8	Velayat-e Paktika
AF.URU	N-3386013	32.8	66.0	Orozgan
AF.PIA	N-3386221	33.7	69.3	Wilayat-e Paktiya
AF.PIA	N-3386221	33.7	69.3	Pakthia
AF.PIA	N-3386221	33.7	69.3	Paktia Province
AF.URU	N-3386013	32.8	66.0	Velayat-e Oruzgan
AF.PAR	N-3386432	35.0	68.9	Wilayat-e Parwan
AF.URU	N-3386013	32.8	66.0	Ruzgan
AF.PAR	N-3386432	35.0	68.9	Perwan Province
AF.URU	N-3386013	32.8	66.0	Uruzgan
AF.URU	N-3386013	32.8	66.0	Aruzgan
AF.PKA	N-3386222	32.4	68.8	Paktika
AF.PKA	N-3386222	32.4	68.8	Wilayat-e Paktika
AF.URU	N-3386013	32.8	66.0	Wilayat-e Uruzgan
AF.PIA	N-3386221	33.7	69.3	Paktya Province
AF.PIA	N-3386221	33.7	69.3	Pakteya
AF.URU	N-3386013	32.8	66.0	Urozgan
AF.PIA	N-3386221	33.7	69.3	Velayat-e Paktia
AF.NIM	N-3385650	31.0	62.5	Chekhansor Province
AF.NIM	N-3385650	31.0	62.5	Nimroze
AF.NIM	N-3385650	31.0	62.5	Wilayat-e Nimroz
AF.NIM	N-3385650	31.0	62.5	Seistan
AF.NIM	N-3385650	31.0	62.5	Nim Roz
AF.NIM	N-3385650	31.0	62.5	Chakhansoor
AF.NIM	N-3385650	31.0	62.5	Velayat-e Chakhansur
AF.NIM	N-3385650	31.0	62.5	Chekhansur
AF.NIM	N-3385650	31.0	62.5	Chakansur
AF.NIM	N-3385650	31.0	62.5	Velayat-e Nimruz
AF.NIM	N-3385650	31.0	62.5	Sistan
AF.NIM	N-3385650	31.0	62.5	Chakhnsoor
